project,req_id,text,type,priority,hybrid_label,source,filename,n_chars,n_words
An AI Integrated Web Platform for HKU Courses,17,Kullanıcı verileri ve gönderiler Firebase üzerinde güvenli şekilde saklanmalı ve yetkisiz erişime karşı korunmalıdır.,NFR,Must,NFR-Must,Translated,An AI Integrated Web Platform for HKU Courses.xml,117,14
An AI Integrated Web Platform for HKU Courses,18,Web uygulaması hem mobil hem masaüstü cihazlarda kullanılabilecek şekilde responsive tasarlanmalıdır.,NFR,Must,NFR-Must,Translated,An AI Integrated Web Platform for HKU Courses.xml,101,11
An AI Integrated Web Platform for HKU Courses,19,Kod çalıştırma işlemleri Piston API üzerinden güvenli sandbox ortamında yürütülmelidir.,NFR,Must,NFR-Must,Translated,An AI Integrated Web Platform for HKU Courses.xml,87,10
An AI Integrated Web Platform for HKU Courses,20,"Sistem, yoğun kullanıcı yükünde Firebase gerçek zamanlı veritabanı senkronizasyonunu sürdürebilmelidir.",NFR,Must,NFR-Must,Translated,An AI Integrated Web Platform for HKU Courses.xml,103,10
An AI Integrated Web Platform for HKU Courses,21,Platformun arayüzü TailwindCSS kullanılarak hızlı yükleme ve hafif grafik tasarımı için optimize edilmelidir.,NFR,Should,NFR-Should,Translated,An AI Integrated Web Platform for HKU Courses.xml,109,13
An AI Integrated Web Platform for HKU Courses,22,"LLM içerik üretimi, programlama derslerinde kavramsal doğruluğu sağlamak için kalite kontrol mekanizmalarından geçmelidir.",NFR,Should,NFR-Should,Translated,An AI Integrated Web Platform for HKU Courses.xml,122,13
An AI Integrated Web Platform for HKU Courses,23,Forumda çoklu kullanıcı etkileşimlerinde gerçek zamanlı performans yüksek olmalıdır.,NFR,Should,NFR-Should,Translated,An AI Integrated Web Platform for HKU Courses.xml,84,9
An AI Integrated Web Platform for HKU Courses,24,"Kod çalıştırma sonuçları, ağ gecikmesine rağmen tutarlı yanıt süreleri sağlayacak şekilde önbelleklenebilir.",NFR,Should,NFR-Should,Translated,An AI Integrated Web Platform for HKU Courses.xml,108,12
An AI Integrated Web Platform for HKU Courses,25,"Arayüz, uzun açıklamalar ve kod bloklarını okunabilir şekilde biçimlendirmek için otomatik satır kaydırma desteğine sahip olmalıdır.",NFR,Should,NFR-Should,Translated,An AI Integrated Web Platform for HKU Courses.xml,132,16
An AI Integrated Web Platform for HKU Courses,26,"Sistem, öğrenci davranışlarına göre zorluk ayarlarını otomatik belirleyen adaptif öğrenme algoritmaları kullanabilir.",NFR,Could,NFR-Could,Translated,An AI Integrated Web Platform for HKU Courses.xml,117,12
An AI Integrated Web Platform for HKU Courses,27,"Platform, yoğun istek yükünü dengelemek için LLM çağrılarını önbelleğe alan bir cache katmanı ekleyebilir.",NFR,Could,NFR-Could,Translated,An AI Integrated Web Platform for HKU Courses.xml,106,14
An AI Integrated Web Platform for HKU Courses,28,Öğrenciler arası rekabeti artırmak için puan tabanlı gamification özellikleri eklenebilir.,NFR,Could,NFR-Could,Translated,An AI Integrated Web Platform for HKU Courses.xml,90,10
An AI Integrated Web Platform for HKU Courses,29,"Uygulama, ders içeriklerini PDF olarak dışa aktarmak için ek bir export modülü sunabilir.",NFR,Could,NFR-Could,Translated,An AI Integrated Web Platform for HKU Courses.xml,89,13
An AI Integrated Web Platform for HKU Courses,30,Chatbot yanıtlarının doğruluğunu artırmak için ek bir RAG (Retrieval-Augmented Generation) mekanizması entegre edilebilir.,NFR,Could,NFR-Could,Translated,An AI Integrated Web Platform for HKU Courses.xml,122,13
An AI Platform for Predicting and Explaining Kickstarter Success,1,"Sistem, Kickstarter projelerini içeren veri setini analiz ederek kullanıcı filtresine göre arama sonuçlarını listeleyebilmelidir.",FR,Must,FR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,129,14
An AI Platform for Predicting and Explaining Kickstarter Success,2,"Platform, projeye ait başlık, kategori, açıklama, hedef, süre ve medya bilgilerini modele girdi olarak işleyebilmelidir.",FR,Must,FR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,120,15
An AI Platform for Predicting and Explaining Kickstarter Success,3,"Multimodal tahmin modeli, bir projenin başarı olasılığını hesaplayarak yüzde olarak kullanıcıya göstermelidir.",FR,Must,FR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,110,12
An AI Platform for Predicting and Explaining Kickstarter Success,4,"Sistem, kullanıcı tarafından girilen proje linkini ayrıştırarak ilgili proje içeriğini otomatik çekebilmelidir.",FR,Must,FR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,111,12
An AI Platform for Predicting and Explaining Kickstarter Success,5,"XAI modülü, model tahmininde etkili olan başlıca özellikleri SHAP değerleri ile açıklayabilmelidir.",FR,Must,FR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,99,12
An AI Platform for Predicting and Explaining Kickstarter Success,6,"Platform, kullanıcıya başarı oranını artırmak için LLM tabanlı metinsel öneriler sunmalıdır.",FR,Should,FR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,92,11
An AI Platform for Predicting and Explaining Kickstarter Success,7,"Sistem, Pinecone vektör veritabanı aracılığıyla benzer başarılı projeleri bulup kullanıcıya listeleyebilmelidir.",FR,Should,FR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,112,11
An AI Platform for Predicting and Explaining Kickstarter Success,8,"Kullanıcı, kategori, hedef miktarı, tarih aralığı, ülke ve proje durumu bazlı gelişmiş filtreleri kullanabilmelidir.",FR,Should,FR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,116,14
An AI Platform for Predicting and Explaining Kickstarter Success,9,"Platform, her proje için tahmin edilen başarı olasılığını ve ilgili açıklamaları tek ekranda sunabilmelidir.",FR,Should,FR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,108,14
An AI Platform for Predicting and Explaining Kickstarter Success,10,"Sistem, kullanıcı tarafından sağlanan uzun açıklama metinlerini Longformer modeli ile embedding’e dönüştürebilmelidir.",FR,Should,FR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,118,12
An AI Platform for Predicting and Explaining Kickstarter Success,11,"Platform, başarısız projeler için otomatik “revizyon önerisi” oluşturabilir ve alternatif başlık/görsel önerileri sunabilir.",FR,Could,FR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,124,13
An AI Platform for Predicting and Explaining Kickstarter Success,12,"Sistem, proje bütçesi, hedef süresi ve medya sayısına göre simülasyon oluşturarak alternatif senaryolar sunabilir.",FR,Could,FR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,114,14
An AI Platform for Predicting and Explaining Kickstarter Success,13,"Kullanıcı, platform üzerindeki projeleri favorilere ekleyebilir ve daha sonra inceleyebilir.",FR,Could,FR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,92,10
An AI Platform for Predicting and Explaining Kickstarter Success,14,"Sistem, geçmiş Kickstarter trendlerini otomatik grafik olarak oluşturabilir.",FR,Could,FR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,76,8
An AI Platform for Predicting and Explaining Kickstarter Success,15,"Platform, kullanıcıya haftalık trend e-posta raporları gönderebilir.",FR,Could,FR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,68,7
An AI Platform for Predicting and Explaining Kickstarter Success,16,"Sistem, tüm veri işleme ve tahmin süreçlerinde 5 saniyeden düşük tepki süresi ile çalışmalıdır.",NFR,Must,NFR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,95,14
An AI Platform for Predicting and Explaining Kickstarter Success,17,"Kullanıcıya sunulan tahmin ve açıklama sonuçları tutarlı, tekrar üretilebilir ve model kararlılığı yüksek olmalıdır.",NFR,Must,NFR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,116,14
An AI Platform for Predicting and Explaining Kickstarter Success,18,"Web arayüzü, mobil ve masaüstü cihazlarda sorunsuz çalışacak şekilde responsive olmalıdır.",NFR,Must,NFR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,90,11
An AI Platform for Predicting and Explaining Kickstarter Success,19,API ve veritabanı iletişimi TLS/SSL protokolleri ile güvenli şekilde sağlanmalıdır.,NFR,Must,NFR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,83,10
An AI Platform for Predicting and Explaining Kickstarter Success,20,"Platform, yüksek trafik altında dahi işlem kuyruğu yönetimiyle kesintisiz çalışabilmelidir.",NFR,Must,NFR-Must,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,91,10
An AI Platform for Predicting and Explaining Kickstarter Success,21,Pinecone vektör arama işlemleri gecikmeyi minimize edecek şekilde optimize edilmelidir.,NFR,Should,NFR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,87,10
An AI Platform for Predicting and Explaining Kickstarter Success,22,"Model, farklı kategorilerden gelen dengesiz verileri doğru öğrenebilmesi için ağırlıklandırma stratejileri kullanmalıdır.",NFR,Should,NFR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,121,12
An AI Platform for Predicting and Explaining Kickstarter Success,23,"Sistem, veri güncellemelerinde minimum kesinti ile otomatik yeniden indeksleme yapabilmelidir.",NFR,Should,NFR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,94,10
An AI Platform for Predicting and Explaining Kickstarter Success,24,"Arayüz, düşük teknik bilgiye sahip kullanıcıların rahatça anlayabileceği sade tasarıma sahip olmalıdır.",NFR,Should,NFR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,103,12
An AI Platform for Predicting and Explaining Kickstarter Success,25,Modelin açıklanabilirlik çıktıları (SHAP) görsel grafiklerle desteklenmiş şekilde optimize edilmelidir.,NFR,Should,NFR-Should,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,103,10
An AI Platform for Predicting and Explaining Kickstarter Success,26,"Sistem, yoğun kullanım zamanlarında hesaplamaları hızlandırmak için GPU hızlandırma desteği kullanabilir.",NFR,Could,NFR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,105,11
An AI Platform for Predicting and Explaining Kickstarter Success,27,"Arka uç, Docker container mimarisi ile yatay olarak ölçeklenebilir olabilir.",NFR,Could,NFR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,76,10
An AI Platform for Predicting and Explaining Kickstarter Success,28,"Platform, sistem yükünü azaltmak için sık kullanılan embedding sonuçlarını önbelleğe alabilir.",NFR,Could,NFR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,94,11
An AI Platform for Predicting and Explaining Kickstarter Success,29,"Web arayüzü, görme bozukluğu olan kullanıcılar için erişilebilirlik modları sunabilir.",NFR,Could,NFR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,86,10
An AI Platform for Predicting and Explaining Kickstarter Success,30,Kullanıcı verileri anonimleştirilerek araştırma amaçlı model geliştirme sürecinde kullanılabilir.,NFR,Could,NFR-Could,Translated,An AI Platform for Predicting and Explaining Kickstarter Success.xml,97,9
An Integrated Software to Support Trading Professionals,1,"Sistem, gerçek zamanlı hisse fiyatlarını Polygon.io ve yfinance API’leri üzerinden çekip kullanıcıya görsel olarak sunabilmelidir.",FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,130,15
An Integrated Software to Support Trading Professionals,2,"Platform, kullanıcıların izleme listelerine eklediği hisseler için fiyat, işlem hacmi ve OHLC verilerini güncel olarak gösterebilmelidir.",FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,137,16
An Integrated Software to Support Trading Professionals,3,"Uygulama, haber akışını toplayarak her haber için duygu analizi (sentiment score) ve kısa özet üretebilmelidir.",FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,111,15
An Integrated Software to Support Trading Professionals,4,"Sistem, mesajlaşma modülünde birebir sohbet, grup sohbeti ve kanal bazlı yayın mesajlarını desteklemelidir.",FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,107,13
An Integrated Software to Support Trading Professionals,5,"Trade Execution bölümü, kullanıcıların portföy simülasyonu oluşturmasına ve performans metriklerini görüntülemesine olanak sağlamalıdır.",FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,136,13
An Integrated Software to Support Trading Professionals,6,"Uygulama, emir defteri (order book) verilerini görüntüleyerek alış-satış derinliğini kullanıcıya sunmalıdır.",FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,108,11
An Integrated Software to Support Trading Professionals,7,Instant Messaging sistemi WebSockets üzerinden gerçek zamanlı iletim sağlamalıdır.,FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,82,9
An Integrated Software to Support Trading Professionals,8,"Dashboard bileşeni, tüm görselleştirmeleri (grafikler, fiyat tabloları, haber akışı) tek ekranda birleştirerek kullanıcıya sunabilmelidir.",FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,138,14
An Integrated Software to Support Trading Professionals,9,"Sistem, kısa vadeli hisse tahmini için LightGBM, XGBoost ve Linear Regression modelleriyle tahmin üretebilmelidir.",FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,114,14
An Integrated Software to Support Trading Professionals,10,"Platform, AWS üzerinde çalışan backend servislerine bağlanarak veri akışını güvenli API çağrılarıyla gerçekleştirmelidir.",FR,Must,FR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,121,13
An Integrated Software to Support Trading Professionals,11,"Dashboard üzerindeki tüm grafikler, yakınlaştırma ve zaman aralıklarını değiştirme özelliklerini desteklemelidir.",FR,Should,FR-Should,Translated,An Integrated Software to Support Trading Professionals.xml,113,11
An Integrated Software to Support Trading Professionals,12,"Kullanıcılar, mesajlaşma temasını ve kullanıcı adını kişiselleştirebilmelidir.",FR,Should,FR-Should,Translated,An Integrated Software to Support Trading Professionals.xml,78,7
An Integrated Software to Support Trading Professionals,13,"Sistem, portföy performansını farklı zaman dilimlerinde karşılaştırmalı grafiklerle gösterebilmelidir.",FR,Should,FR-Should,Translated,An Integrated Software to Support Trading Professionals.xml,102,9
An Integrated Software to Support Trading Professionals,14,"Platform, komut satırı arayüzü üzerinden belirli trading fonksiyonlarının yürütülmesine izin verebilmelidir.",FR,Should,FR-Should,Translated,An Integrated Software to Support Trading Professionals.xml,108,11
An Integrated Software to Support Trading Professionals,15,"Sistem, kullanıcıya risk seviyesine göre otomatik portföy dağılımı (allocation suggestion) önerebilir.",FR,Could,FR-Could,Translated,An Integrated Software to Support Trading Professionals.xml,102,11
An Integrated Software to Support Trading Professionals,16,Tüm fiyat ve grafik güncellemeleri düşük gecikme ile gerçek zamanlı olarak yenilenmelidir.,NFR,Must,NFR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,90,12
An Integrated Software to Support Trading Professionals,17,Kullanıcı verileri ve mesajlaşma geçmişi güvenli bir veritabanında saklanmalı ve yetkisiz erişime izin verilmemelidir.,NFR,Must,NFR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,118,14
An Integrated Software to Support Trading Professionals,18,"Uygulamanın Tauri tabanlı masaüstü sürümü, düşük kaynak tüketimi ile hızlı açılabilir olmalıdır.",NFR,Must,NFR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,96,12
An Integrated Software to Support Trading Professionals,19,Sistemde kullanılan WebSocket bağlantıları bağlantı kopmalarında otomatik olarak yeniden bağlanabilmelidir.,NFR,Must,NFR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,107,10
An Integrated Software to Support Trading Professionals,20,AWS altyapısı üzerinde çalışan microservice bileşenleri ölçeklendirme sırasında kesintisiz hizmet sağlamalıdır.,NFR,Must,NFR-Must,Translated,An Integrated Software to Support Trading Professionals.xml,111,11
An Integrated Software to Support Trading Professionals,21,"Tüm UI bileşenleri (grafikler, tablolalar, modüller) farklı ekran çözünürlüklerinde tutarlı görünmelidir.",NFR,Should,NFR-Should,Translated,An Integrated Software to Support Trading Professionals.xml,105,11
An Integrated Software to Support Trading Professionals,22,ML tahmin modellerinin performansı düzenli olarak güncellenmeli ve doğruluk kaybı olduğunda yeniden eğitilmelidir.,NFR,Should,NFR-Should,Translated,An Integrated Software to Support Trading Professionals.xml,114,13
An Integrated Software to Support Trading Professionals,23,Haber duygu analizi modülü yoğun veri akışında bile stabil çalışabilmelidir.,NFR,Should,NFR-Should,Translated,An Integrated Software to Support Trading Professionals.xml,76,10
An Integrated Software to Support Trading Professionals,24,"Uygulama, yüksek hacimli kullanıcı yükü altında grafiklerin kare hızını korumalıdır.",NFR,Should,NFR-Should,Translated,An Integrated Software to Support Trading Professionals.xml,84,10
An Integrated Software to Support Trading Professionals,25,Sistemin genel mimarisi modüler olmalı ve yeni broker API’lerinin entegrasyonuna kolayca izin vermelidir.,NFR,Should,NFR-Should,Translated,An Integrated Software to Support Trading Professionals.xml,105,13
An Integrated Software to Support Trading Professionals,26,"Sistem, kullanıcı aktivitesine göre kaynak tüketimini optimize etmek için dinamik yük yönetimi uygulayabilir.",NFR,Could,NFR-Could,Translated,An Integrated Software to Support Trading Professionals.xml,109,13
An Integrated Software to Support Trading Professionals,27,Grafikler ve fiyat verileri yerel önbelleğe alınarak düşük internet hızlarında bile akıcı görüntü sağlanabilir.,NFR,Could,NFR-Could,Translated,An Integrated Software to Support Trading Professionals.xml,111,14
An Integrated Software to Support Trading Professionals,28,"Platform, tematik gece modu ve yüksek kontrast gibi erişilebilirlik seçeneklerini destekleyebilir.",NFR,Could,NFR-Could,Translated,An Integrated Software to Support Trading Professionals.xml,98,11
An Integrated Software to Support Trading Professionals,29,"Trading modülü için gelişmiş risk yönetimi ölçütleri (VaR, Sharpe Ratio) entegre edilebilir.",NFR,Could,NFR-Could,Translated,An Integrated Software to Support Trading Professionals.xml,92,12
An Integrated Software to Support Trading Professionals,30,"Sistem, işlem geçmişini büyük veri analitiği için dışa aktarılabilir formatlarda sunabilir.",NFR,Could,NFR-Could,Translated,An Integrated Software to Support Trading Professionals.xml,91,11
An enhanced note assistance application with handwriting recognition leveraging LLM,1,"Sistem, el yazısı içeren notları OCR ve el yazısı tanıma modelleri ile dijital metne dönüştürebilmelidir.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,105,15
An enhanced note assistance application with handwriting recognition leveraging LLM,2,"LLM tabanlı belge ayrıştırma modülü, yüklenen dokümandan yapılandırılmış içerik, ana fikir, tablo, liste ve başlıkları çıkarabilmelidir.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,136,16
An enhanced note assistance application with handwriting recognition leveraging LLM,3,"Sistem, kullanıcı notlarını klasörler ve alt klasörler hâlinde organize etmeyi sağlayan hiyerarşik dosya yönetimi sunmalıdır.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,125,15
An enhanced note assistance application with handwriting recognition leveraging LLM,4,"VQA (Visual Question Answering) modülü, kullanıcı tarafından sorulan soruları belge görüntüsü üzerinden anlayıp yanıtlayabilmelidir.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,132,14
An enhanced note assistance application with handwriting recognition leveraging LLM,5,"OmniNote uygulaması, Canvas tabanlı bir not alma arayüzü sağlayarak çizim, metin girişi ve şekil ekleme işlemlerini desteklemelidir.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,132,17
An enhanced note assistance application with handwriting recognition leveraging LLM,6,"Sistem, belge düzenlerini algılamak için kNN tabanlı layout clustering kullanmalı ve belgeleri gruplara ayırmalıdır.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,116,14
An enhanced note assistance application with handwriting recognition leveraging LLM,7,"Model geliştirme pipeline’ı, OCR, VQA ve layout verilerini birleştirerek çok modlu eğitim çıktıları oluşturmalıdır.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,115,14
An enhanced note assistance application with handwriting recognition leveraging LLM,8,"Kullanıcı, PDF veya görüntü formatındaki dosyaları yükleyebilmeli ve sistem bu belgeleri otomatik işleyebilmelidir.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,115,13
An enhanced note assistance application with handwriting recognition leveraging LLM,9,"Sistem, belge içindeki tablolardan yapılandırılmış satır/sütun verilerini çıkarmalı ve kullanıcıya metinsel formatta sunmalıdır.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,128,13
An enhanced note assistance application with handwriting recognition leveraging LLM,10,"Uygulama, kullanıcı notlarının indekslenmesini sağlayarak metin ve içerik bazlı hızlı arama yapabilmelidir.",FR,Must,FR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,107,12
An enhanced note assistance application with handwriting recognition leveraging LLM,11,"Sistem, el yazısı tanıma sonuçlarını iyileştirmek için belge seviyesinde bağlam kullanarak hatalı tahminleri düzeltebilmelidir.",FR,Should,FR-Should,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,127,14
An enhanced note assistance application with handwriting recognition leveraging LLM,12,"Kullanıcı, sürükle–bırak yöntemiyle not dosyalarını farklı klasörler arasında kolayca taşıyabilmelidir.",FR,Should,FR-Should,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,103,10
An enhanced note assistance application with handwriting recognition leveraging LLM,13,"OmniNote, dokümandan çıkarılan önemli noktalar için otomatik özet oluşturabilmelidir.",FR,Should,FR-Should,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,85,9
An enhanced note assistance application with handwriting recognition leveraging LLM,14,"Sistem, el yazısı içeren notlara ilişkin sorulara LLM destekli açıklamalı yanıtlar üretebilmelidir.",FR,Should,FR-Should,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,99,12
An enhanced note assistance application with handwriting recognition leveraging LLM,15,"Platform, kullanıcıya benzer içerikli notları otomatik önererek not organizasyonunu kolaylaştırabilir.",FR,Could,FR-Could,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,102,10
An enhanced note assistance application with handwriting recognition leveraging LLM,16,"OCR, VQA ve LLM işlemleri, kullanıcı deneyimini bozmayacak kabul edilebilir gecikme süreleriyle çalışmalıdır.",NFR,Must,NFR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,109,13
An enhanced note assistance application with handwriting recognition leveraging LLM,17,Tüm kullanıcı notları ve belgeleri güvenli bir şekilde saklanmalı ve yetkisiz erişim engellenmelidir.,NFR,Must,NFR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,101,13
An enhanced note assistance application with handwriting recognition leveraging LLM,18,Electron tabanlı masaüstü uygulaması hem Windows hem macOS ortamlarında tutarlı performans sunmalıdır.,NFR,Must,NFR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,102,12
An enhanced note assistance application with handwriting recognition leveraging LLM,19,"React + TypeScript frontend arayüzü, büyük doküman setlerini yüklerken performans kaybı yaşamamalıdır.",NFR,Must,NFR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,102,12
An enhanced note assistance application with handwriting recognition leveraging LLM,20,"Sistem, belge düzeni kümelemede kullanılan kNN algoritması için iyi dengelenmiş ve temizlenmiş veri seti ile çalışmalıdır.",NFR,Must,NFR-Must,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,122,16
An enhanced note assistance application with handwriting recognition leveraging LLM,21,"OmniNote, büyük belgelerden çıkarılan HTML ve JSON yapılarını optimize ederek minimum bellek tüketimi sağlamalıdır.",NFR,Should,NFR-Should,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,115,14
An enhanced note assistance application with handwriting recognition leveraging LLM,22,"Uygulama, uzun süreli kullanımda hata vermeden çalışabilmek için güçlü hata yönetim mekanizmalarına sahip olmalıdır.",NFR,Should,NFR-Should,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,116,14
An enhanced note assistance application with handwriting recognition leveraging LLM,23,"Çok modlu görevlerde (OCR + VQA + layout), model çıktılarının tutarlılığı düzenli testlerle izlenmelidir.",NFR,Should,NFR-Should,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,105,14
An enhanced note assistance application with handwriting recognition leveraging LLM,24,"Sistem, belge yükleme ve işleme süreçlerinde düşük ağ bağlantılarında dahi stabil performans göstermelidir.",NFR,Should,NFR-Should,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,107,13
An enhanced note assistance application with handwriting recognition leveraging LLM,25,"OmniNote arayüzü, erişilebilirlik standartlarına uygun olacak şekilde yüksek kontrast modlarını desteklemelidir.",NFR,Should,NFR-Should,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,112,11
An enhanced note assistance application with handwriting recognition leveraging LLM,26,"Sistem, çok daha büyük veri kümeleri için GPU hızlandırmalı belge işleme pipeline’ı destekleyebilir.",NFR,Could,NFR-Could,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,100,13
An enhanced note assistance application with handwriting recognition leveraging LLM,27,Sunucu tarafı LLM iş yüklerini azaltmak için önbelleğe alınmış embedding’ler kullanılabilir.,NFR,Could,NFR-Could,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,92,11
An enhanced note assistance application with handwriting recognition leveraging LLM,28,"Otomatik not düzenleme için ileri seviye gruplandırma (k-means, spectral clustering) seçenekleri eklenebilir.",NFR,Could,NFR-Could,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,109,12
An enhanced note assistance application with handwriting recognition leveraging LLM,29,"Uygulama, el yazısı stillerine göre kişisel model uyarlaması (fine-tuning) yapılmasına olanak sağlayabilir.",NFR,Could,NFR-Could,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,107,12
An enhanced note assistance application with handwriting recognition leveraging LLM,30,"OmniNote, ileride sesli not alma ve konuşma–metin dönüştürme özelliklerini entegre etmek için genişletilebilir bir mimariye sahip olabilir.",NFR,Could,NFR-Could,Translated,An enhanced note assistance application with handwriting recognition leveraging LLM.xml,139,17
Android Tabanl Biyometrik Ogrenci Devam Sistemi,1,"Sistem, öğrencilerin parmak izi ile kimlik doğrulamasını yaparak derse giriş ve çıkış anında biyometrik yoklama alabilmelidir.",FR,Must,FR-Must,ETU,Android Tabanl Biyometrik Ogrenci Devam Sistemi.xml,126,16
Android Tabanl Biyometrik Ogrenci Devam Sistemi,2,"Sistem, tüm öğrenci bilgilerini (kimlik, sınıf/grade, iletişim bilgisi vb.) veritabanında saklayarak adminin bu kayıtları görüntülemesine, eklemesine, güncellemesine ve silmesine izin vermelidir.",FR,Must,FR-Must,ETU,Android Tabanl Biyometrik Ogrenci Devam Sistemi.xml,195,21
Android Tabanl Biyometrik Ogrenci Devam Sistemi,3,"Sistem, her öğrenci için parmak izi kaydı eklenmesini desteklemeli ve yoklama işlemini bu kayıt üzerinden gerçekleştirmelidir.",FR,Must,FR-Must,ETU,Android Tabanl Biyometrik Ogrenci Devam Sistemi.xml,126,16
Android Tabanl Biyometrik Ogrenci Devam Sistemi,4,"Sistem, öğretmen bilgilerinin yönetimine (ekleme, güncelleme, silme) imkan vermeli ve öğretmenlere ders/sınıf (subject/grade) ataması yapabilmelidir.",FR,Must,FR-Must,ETU,Android Tabanl Biyometrik Ogrenci Devam Sistemi.xml,149,15
